g_,p_,micro_,macro_
1.5051282215387858,0.25,F1W,aW
-0.05400898231711959,0.0625,WW,aW
-0.7307133083136228,0.0625,WW,aW
2.5273771345852336,0.375,F1W,aW
-0.343750206640648,0.125,WW,aW
2.906144744386703,0.5,H1W,aF1
2.7921131627637634,0.4375,F1W,aW
-0.13140253319210077,0.0625,WW,aW
3.0094063026535958,0.5,H1W,aF1
0.19983825926034848,0.1875,WW,aW
0.03948434893782082,0.0625,WW,aW
0.08247304373491252,0.125,WW,aW
3.4693140453829954,0.5,H1W,aF1
0.802972839601383,0.25,F1W,aW
-0.8159081063162359,0.125,WW,aW
2.1244698241887496,0.5,F1F1,aW
0.025014063792679342,0.125,WW,aW
2.101316753544571,0.375,F1W,aW
1.0576261548750057,0.125,WW,aW
0.9195600598372324,0.1875,WW,aW
0.6273818385003161,0.0625,WW,aW
1.7826783278497609,0.3125,F1W,aW
-0.8484671987972512,0.125,WW,aW
4.595659792691888,0.625,H1W,aF1
0.0970241818027443,0.0625,WW,aW
-0.2561885723407184,0.0,WW,aW
0.9255515204231272,0.375,F1W,aW
2.2861008085091252,0.375,F1W,aW
0.9145154872008462,0.125,WW,aW
1.4264383647350662,0.3125,WW,aW
-0.2464764692959459,0.1875,WW,aW
1.1552207075988374,0.125,WW,aW
1.390106960879749,0.375,F1W,aW
1.5204501886345436,0.25,F1W,aW
3.75723514847228,0.5,H1W,aF1
0.0950068159104113,0.0625,WW,aW
-0.5859825179688709,0.125,WW,aW
3.3167786693583,0.5,F1W,aW
0.7244822345384458,0.1875,WW,aW
1.283831709679378,0.125,WW,aW
-0.5093447639462625,0.0,WW,aW
1.6566651429140065,0.25,WW,aW
1.3876626343102525,0.125,WW,aW
3.7645711134965705,0.625,H1W,aF1
3.388885416655417,0.5625,H1W,aF1
2.6252125721963675,0.3125,F1W,aW
0.4911509354143845,0.125,WW,aW
1.7476918943045883,0.125,WW,aW
6.2084670952681895,1.0,H1H1,aH
0.021310260603087938,0.0,WW,aW
4.181417476134607,0.5625,H1W,aF1
2.9110426911816143,0.4375,F1W,aW
-0.14991517428357082,0.0625,WW,aW
1.6442600895777735,0.125,WW,aW
3.1853288722081654,0.625,H1W,aF1
3.5675801064245207,0.625,H1W,aF1
2.2213914963840273,0.375,WW,aW
4.489985206429063,0.5625,H1W,aF1
0.4344728440010831,0.125,WW,aW
1.486864970654768,0.25,WW,aW
3.2844069815682215,0.375,F1W,aW
1.2153702127307786,0.0625,WW,aW
3.7676130100877323,0.625,H1W,aF1
1.475297880994826,0.125,WW,aW
2.625390251779523,0.3125,WW,aW
3.613911597624161,0.5625,H1W,aF1
1.180995372645773,0.3125,F1W,aW
4.118714159674582,0.625,H1W,aF1
2.189819130830075,0.3125,F1W,aW
2.5258941414068614,0.25,WW,aW
1.453657740028744,0.1875,WW,aW
0.20238838825839672,0.0,WW,aW
3.7454998145630882,0.5,H1W,aF1
0.9544556741564256,0.1875,WW,aW
4.120163891024166,0.625,H1W,aF1
1.2883251411198673,0.1875,WW,aW
1.0844390765840082,0.0,WW,aW
3.031049182942325,0.4375,F1W,aW
-0.5876394523601893,0.0,WW,aW
3.1323771974262606,0.4375,F1W,aW
4.502808584724823,0.75,H1W,aF1
3.5595106505918124,0.5625,H1W,aF1
4.076783800917567,0.625,H1W,aF1
1.6472006795416452,0.375,F1W,aW
0.7274034843581121,0.0625,WW,aW
0.5011469391187571,0.0625,WW,aW
3.156055732101787,0.5,F1W,aW
1.3481198799436234,0.125,WW,aW
0.6865379717704847,0.125,WW,aW
2.619166648721937,0.5625,F1F1,aW
1.433716764948889,0.25,WW,aW
0.2046940961637257,0.125,WW,aW
4.401776526864484,0.5,H1W,aF1
1.7336641929623224,0.375,F1W,aW
2.9076862657915,0.5,H1W,aF1
4.116652548931893,0.5,H1W,aF1
2.9494836076445172,0.375,F1W,aW
5.396896866998993,0.625,H1W,aF1
4.51461126672768,0.5625,H1W,aF1
1.4765651979491505,0.25,WW,aW
3.160375426460587,0.375,F1W,aW
1.790027944296395,0.1875,WW,aW
0.5207845383119801,0.0625,WW,aW
0.854327702315715,0.125,WW,aW
2.4514850718491514,0.25,WW,aW
5.028974970646434,0.75,H1W,aF1
-0.22013309320084506,0.0625,WW,aW
3.08444663388239,0.4375,F1W,aW
3.1390766784510564,0.3125,F1W,aW
3.756794439119408,0.5625,H1W,aF1
-1.4232239512716705,0.0625,WW,aW
0.12319523238920449,0.0625,WW,aW
3.886254468796982,0.375,F1W,aW
1.1413316613742142,0.25,F1W,aW
1.0178562259669692,0.3125,F1W,aW
0.5709197068881002,0.125,WW,aW
4.599148048235658,0.625,H1W,aF1
0.4656984431346538,0.0625,WW,aW
5.003150580730973,0.625,H1W,aF1
0.41164858682156164,0.0625,WW,aW
0.9637487268569641,0.25,WW,aW
2.5294293433856465,0.3125,WW,aW
0.7641887584377205,0.125,WW,aW
2.928071221742735,0.5,H1W,aF1
2.4737716650933885,0.5,H1W,aF1
3.190359800076548,0.5,H1W,aF1
5.040422837370009,0.75,H1F1,aF1
2.570107325482595,0.4375,F1W,aW
1.2398064644469364,0.125,WW,aW
2.2298558536767263,0.1875,WW,aW
2.91039394377098,0.5,F1F1,aW
0.7852537184544501,0.0625,WW,aW
3.069337027335438,0.3125,F1W,aW
3.876652772108235,0.5625,H1W,aF1
-0.23480581695731012,0.0625,WW,aW
0.5974338620758344,0.1875,WW,aW
3.6161179763418523,0.5625,F1F1,aW
6.1530185362079495,0.8125,H1F1,aF1
3.799646052551279,0.625,H1W,aF1
4.815853601430081,0.5625,H1W,aF1
2.1506796707155433,0.3125,WW,aW
4.338980846593058,0.5625,F1F1,aW
0.3326679295353585,0.1875,WW,aW
1.836132904499824,0.1875,WW,aW
